iter	Passed	Remaining
0	142	142493
1	147	73502
2	148	49490
3	150	37461
4	151	30220
5	153	25399
6	154	21954
7	156	19387
8	161	17814
9	163	16176
10	165	14840
11	166	13716
12	168	12777
13	169	11959
14	171	11268
15	175	10808
16	177	10268
17	178	9759
18	180	9306
19	181	8896
20	183	8532
21	184	8195
22	186	7913
23	192	7819
24	195	7608
25	197	7416
26	199	7187
27	200	6969
28	204	6848
29	206	6681
30	207	6495
31	209	6325
32	210	6172
33	212	6045
34	214	5906
35	215	5773
36	220	5727
37	222	5622
38	223	5509
39	225	5400
40	226	5302
41	228	5202
42	229	5106
43	231	5020
44	235	4992
45	236	4908
46	238	4826
47	240	4764
48	241	4690
49	243	4618
50	244	4551
51	245	4484
52	249	4464
53	251	4403
54	253	4349
55	254	4291
56	256	4236
57	257	4181
58	258	4129
59	260	4078
60	263	4060
61	265	4013
62	266	3967
63	268	3928
64	269	3883
65	271	3841
66	272	3798
67	274	3759
68	275	3722
69	280	3725
70	282	3690
71	283	3653
72	285	3622
73	287	3597
74	288	3563
75	290	3529
76	291	3496
77	295	3498
78	297	3467
79	299	3438
80	300	3408
81	302	3383
82	303	3348
83	304	3322
84	306	3297
85	310	3303
86	312	3277
87	313	3250
88	315	3224
89	316	3197
90	317	3170
91	318	3145
92	320	3121
93	321	3096
94	325	3102
95	326	3078
96	328	3056
97	329	3033
98	330	3011
99	332	2988
100	333	2966
101	334	2944
102	335	2923
103	336	2902
104	338	2885
105	339	2865
106	340	2845
107	342	2826
108	343	2807
109	344	2790
110	346	2771
111	347	2753
112	348	2736
113	351	2735
114	353	2718
115	354	2702
116	355	2683
117	356	2666
118	358	2650
119	359	2634
120	360	2619
121	361	2602
122	363	2588
123	366	2590
124	368	2578
125	369	2565
126	370	2549
127	372	2541
128	375	2532
129	376	2518
130	378	2510
131	384	2526
132	386	2521
133	388	2509
134	389	2498
135	393	2499
136	400	2522
137	403	2518
138	406	2515
139	415	2550
140	416	2539
141	417	2524
142	419	2514
143	420	2501
144	422	2489
145	423	2476
146	424	2464
147	425	2451
148	428	2444
149	429	2434
150	430	2422
151	432	2411
152	433	2400
153	435	2390
154	436	2379
155	437	2367
156	442	2373
157	443	2364
158	445	2354
159	446	2344
160	447	2332
161	449	2322
162	450	2312
163	451	2302
164	453	2293
165	458	2301
166	459	2293
167	468	2317
168	473	2329
169	475	2321
170	477	2313
171	478	2304
172	481	2302
173	483	2294
174	487	2299
175	491	2299
176	492	2291
177	494	2282
178	495	2273
179	497	2265
180	499	2260
181	504	2266
182	505	2257
183	507	2248
184	508	2240
185	509	2231
186	514	2236
187	519	2245
188	521	2237
189	522	2229
190	524	2221
191	526	2214
192	527	2206
193	529	2197
194	530	2189
195	536	2202
196	538	2196
197	540	2188
198	542	2182
199	543	2175
200	545	2168
201	550	2176
202	552	2168
203	554	2163
204	556	2157
205	557	2150
206	559	2142
207	560	2134
208	566	2145
209	568	2137
210	569	2130
211	571	2123
212	573	2117
213	574	2111
214	576	2103
215	581	2110
216	582	2103
217	584	2095
218	585	2088
219	587	2083
220	589	2076
221	590	2069
222	596	2076
223	598	2072
224	599	2066
225	601	2060
226	603	2054
227	605	2048
228	610	2056
229	612	2049
230	613	2043
231	615	2036
232	617	2032
233	618	2024
234	620	2018
235	625	2024
236	627	2018
237	628	2012
238	630	2006
239	632	2003
240	634	1997
241	635	1990
242	641	1997
243	642	1991
244	644	1986
245	646	1980
246	647	1974
247	649	1969
248	650	1962
249	656	1969
250	658	1963
251	659	1958
252	661	1952
253	663	1949
254	665	1942
255	666	1936
256	670	1937
257	671	1930
258	672	1924
259	673	1917
260	675	1911
261	676	1905
262	677	1899
263	679	1893
264	680	1888
265	685	1890
266	686	1884
267	687	1878
268	689	1873
269	691	1868
270	692	1862
271	693	1857
272	695	1851
273	698	1850
274	701	1848
275	702	1842
276	703	1836
277	704	1830
278	706	1826
279	708	1822
280	710	1816
281	711	1811
282	714	1811
283	716	1805
284	717	1800
285	719	1795
286	720	1790
287	722	1785
288	723	1780
289	724	1774
290	726	1769
291	730	1770
292	731	1764
293	732	1759
294	734	1754
295	735	1749
296	737	1744
297	738	1739
298	739	1734
299	741	1729
300	745	1732
301	747	1727
302	748	1722
303	750	1717
304	751	1712
305	753	1707
306	754	1703
307	755	1698
308	759	1697
309	761	1694
310	763	1690
311	764	1685
312	766	1681
313	767	1677
314	769	1672
315	770	1668
316	774	1669
317	776	1665
318	777	1660
319	779	1656
320	781	1652
321	783	1648
322	785	1645
323	790	1648
324	791	1644
325	793	1639
326	794	1635
327	795	1630
328	797	1625
329	798	1621
330	799	1616
331	801	1612
332	805	1612
333	806	1608
334	807	1603
335	809	1599
336	810	1594
337	811	1590
338	813	1586
339	814	1581
340	816	1577
341	820	1578
342	821	1574
343	823	1569
344	824	1565
345	826	1561
346	827	1556
347	828	1552
348	829	1548
349	831	1544
350	837	1549
351	842	1550
352	844	1547
353	846	1544
354	851	1546
355	853	1543
356	855	1540
357	857	1538
358	859	1535
359	864	1536
360	866	1533
361	868	1530
362	869	1526
363	871	1523
364	873	1519
365	874	1515
366	876	1511
367	880	1512
368	882	1509
369	884	1505
370	886	1502
371	887	1498
372	889	1494
373	890	1491
374	894	1490
375	895	1486
376	897	1482
377	898	1478
378	899	1474
379	901	1470
380	902	1466
381	903	1461
382	905	1457
383	906	1454
384	908	1451
385	910	1447
386	911	1443
387	913	1440
388	915	1437
389	916	1433
390	917	1429
391	919	1425
392	923	1426
393	925	1423
394	927	1420
395	928	1416
396	930	1412
397	931	1408
398	932	1405
399	934	1401
400	939	1403
401	942	1402
402	946	1401
403	947	1397
404	948	1394
405	954	1396
406	956	1394
407	960	1393
408	962	1390
409	963	1386
410	964	1382
411	967	1381
412	971	1381
413	973	1377
414	975	1374
415	977	1372
416	986	1379
417	991	1380
418	992	1376
419	994	1373
420	998	1373
421	1000	1369
422	1001	1366
423	1003	1362
424	1004	1359
425	1006	1355
426	1007	1352
427	1008	1348
428	1010	1344
429	1014	1344
430	1015	1340
431	1017	1337
432	1018	1333
433	1019	1330
434	1021	1326
435	1022	1323
436	1024	1319
437	1025	1316
438	1041	1330
439	1046	1331
440	1048	1328
441	1050	1325
442	1052	1323
443	1054	1320
444	1057	1318
445	1062	1319
446	1064	1316
447	1065	1313
448	1067	1309
449	1068	1306
450	1070	1303
451	1072	1299
452	1075	1298
453	1077	1295
454	1078	1292
455	1080	1289
456	1083	1287
457	1085	1285
458	1091	1286
459	1093	1283
460	1094	1279
461	1097	1277
462	1102	1279
463	1107	1278
464	1108	1275
465	1111	1273
466	1113	1270
467	1115	1268
468	1122	1270
469	1125	1269
470	1127	1266
471	1129	1263
472	1130	1259
473	1132	1256
474	1133	1253
475	1139	1254
476	1141	1251
477	1146	1252
478	1148	1249
479	1153	1249
480	1154	1246
481	1157	1243
482	1158	1240
483	1160	1237
484	1162	1234
485	1163	1230
486	1164	1227
487	1168	1225
488	1216	1271
489	1219	1269
490	1221	1265
491	1222	1262
492	1225	1259
493	1248	1279
494	1250	1275
495	1252	1272
496	1254	1269
497	1257	1267
498	1258	1263
499	1263	1263
500	1266	1260
501	1268	1258
502	1349	1332
503	1351	1329
504	1353	1326
505	1357	1324
506	1367	1329
507	1369	1326
508	1371	1322
509	1372	1319
510	1377	1318
511	1380	1315
512	1382	1312
513	1384	1309
514	1387	1306
515	1389	1302
516	1395	1304
517	1453	1352
518	1457	1350
519	1460	1347
520	1466	1348
521	1468	1345
522	1470	1341
523	1476	1341
524	1510	1366
525	1512	1362
526	1514	1359
527	1516	1355
528	1517	1351
529	1519	1347
530	1523	1345
531	1525	1341
532	1527	1338
533	1528	1334
534	1530	1330
535	1531	1326
536	1533	1322
537	1534	1317
538	1539	1317
539	1541	1312
540	1542	1308
541	1544	1304
542	1546	1301
543	1547	1297
544	1549	1293
545	1554	1292
546	1556	1288
547	1558	1285
